,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000284703,4.705117392,5.883568406,1.466388133,4.012285884,6.01E-05,0.000579835
ENSG00000226457,3.521240736,3.29792971,1.362780549,2.420000573,0.015520483,0.042602848
ENSG00000173614,130.5979552,1.148009944,0.363640821,3.156988645,0.001594076,0.007604697
ENSG00000233623,4.239960974,4.676901104,1.656197728,2.823878469,0.004744637,0.017524594
ENSG00000162592,9.654179364,4.987018697,1.177256557,4.236135844,2.27E-05,0.00026367
ENSG00000204624,16.46108496,2.525999262,0.856136764,2.950462319,0.003172987,0.012930767
ENSG00000171729,285.571172,-1.637185573,0.480465692,-3.407497353,0.000655615,0.003836585
ENSG00000048707,2805.146988,1.016131826,0.312357786,3.253102279,0.001141524,0.005871257
ENSG00000162444,137.5344656,-3.243454844,0.588952354,-5.507159999,3.65E-08,1.10E-06
ENSG00000279625,2.043804443,5.452765807,2.130511166,2.559369739,0.010486215,0.031781016
ENSG00000284692,5.328133499,4.134721135,1.381231442,2.993503485,0.002757944,0.011618669
ENSG00000284745,3.172106833,5.717283269,1.613713538,3.542935678,0.000395699,0.002585218
ENSG00000280222,10.10703591,3.960848526,0.995531193,3.978628246,6.93E-05,0.000649043
ENSG00000175087,408.8754745,2.387628043,0.38021636,6.279656254,3.39E-10,1.76E-08
ENSG00000230035,3.152198728,4.615283224,1.598501594,2.887255941,0.00388618,0.015073745
ENSG00000162511,1415.921624,1.454146693,0.544736086,2.669451742,0.007597519,0.024950997
ENSG00000204138,675.6488186,-1.944544963,0.347508269,-5.595679683,2.20E-08,7.03E-07
ENSG00000142675,210.3508322,-1.799683021,0.360939712,-4.986104223,6.16E-07,1.27E-05
ENSG00000197245,34.73894851,-2.030320787,0.667410753,-3.042085817,0.002349449,0.010286684
ENSG00000130772,169.3474609,1.257600277,0.509287018,2.469335037,0.013536441,0.038441691
ENSG00000284676,3.827408992,4.995574573,1.50136778,3.327348994,0.000876765,0.004795705
ENSG00000233399,2.94126632,4.304179793,1.655140642,2.600491876,0.009309022,0.029046746
ENSG00000090020,857.0833477,-4.028791742,0.48796025,-8.256393311,1.50E-16,2.74E-14
ENSG00000162512,768.7012453,-1.66849648,0.400428099,-4.166781714,3.09E-05,0.000336546
ENSG00000130766,366.3073299,-2.664639838,0.422636861,-6.304797532,2.89E-10,1.52E-08
ENSG00000168528,1303.833077,-2.493186094,0.667668899,-3.734165392,0.000188339,0.001444241
ENSG00000169403,257.9068104,1.722496109,0.557388688,3.090296136,0.00199957,0.009057911
ENSG00000171612,274.635098,-2.027322671,0.392403255,-5.166426745,2.39E-07,5.61E-06
ENSG00000121769,166.8392692,-1.836711095,0.673398221,-2.727525908,0.006381125,0.021868575
ENSG00000142627,1252.556666,-4.256935314,0.425505194,-10.00442621,1.46E-23,6.77E-21
ENSG00000284668,2.401548002,4.969444285,1.822777593,2.726303146,0.006404814,0.02193178
ENSG00000234593,14.89122931,4.500070098,1.254740065,3.58645605,0.000335203,0.002262589
ENSG00000189337,359.1553434,-1.890404079,0.458003604,-4.127487344,3.67E-05,0.000387515
ENSG00000235143,4.408995829,5.395563919,1.500333781,3.596242375,0.000322847,0.002198202
ENSG00000284543,26.38108113,2.724877504,1.059118507,2.572778672,0.01008857,0.030887964
ENSG00000273274,24.31806433,4.741450755,1.063765465,4.457233206,8.30E-06,0.000115198
ENSG00000009709,10.32960234,7.09111107,1.474378414,4.809559746,1.51E-06,2.75E-05
ENSG00000158008,168.0940578,1.947697448,0.743995476,2.617888832,0.008847562,0.027972779
ENSG00000130940,452.1874378,-1.499856641,0.415266307,-3.611794682,0.000304085,0.002093542
ENSG00000163879,219.9786945,-3.740643049,0.623572489,-5.998730086,1.99E-09,8.57E-08
ENSG00000116954,354.36628,-1.416761482,0.374578027,-3.782286682,0.000155394,0.001240481
ENSG00000117215,85.80942865,4.747404154,0.858365339,5.530750064,3.19E-08,9.77E-07
ENSG00000044012,2.240986779,5.739305631,1.885187339,3.044421905,0.002331279,0.010224266
ENSG00000284650,2.649698799,5.707855793,1.969020676,2.89882979,0.003745582,0.014637744
ENSG00000272078,32.02496319,-2.045356329,0.605048282,-3.380484485,0.000723582,0.004142681
ENSG00000284632,1.526720958,4.893176455,2.034844944,2.404692539,0.016186077,0.043958124
ENSG00000284653,1.679023183,5.188894055,2.215342973,2.342253149,0.019167709,0.049910312
ENSG00000276747,4.696549442,6.504186692,1.571424657,4.139038206,3.49E-05,0.000372372
ENSG00000284705,7.103268601,6.871363413,1.39080523,4.940564835,7.79E-07,1.57E-05
ENSG00000159339,8.335553587,3.25543776,0.999874699,3.255845722,0.001130552,0.005822703
ENSG00000261781,1.599981134,5.093382064,2.139940563,2.380151183,0.017305536,0.046235265
ENSG00000142686,215.4412176,1.074370082,0.343362356,3.128968754,0.00175421,0.008184615
ENSG00000224751,10.34512632,6.199456057,1.406287699,4.408383906,1.04E-05,0.000138143
ENSG00000117148,29.64920157,8.865863726,1.390631333,6.375423534,1.82E-10,1.02E-08
ENSG00000117000,1706.326149,-2.047727359,0.412495527,-4.964241365,6.90E-07,1.41E-05
ENSG00000092853,310.0746539,4.963495195,0.56742721,8.747369016,2.18E-18,5.04E-16
ENSG00000187513,319.5766368,-4.6844015,0.418510273,-11.19303827,4.41E-29,3.92E-26
ENSG00000230138,4.422323212,5.681812219,1.701577294,3.339144357,0.000840369,0.004637283
ENSG00000284720,2.203676103,5.068415669,1.759705654,2.880263331,0.003973431,0.015329657
ENSG00000066056,407.231378,-2.021637176,0.454303087,-4.449974551,8.59E-06,0.00011828
ENSG00000116544,12.23835556,2.263079539,0.697890506,3.242742981,0.00118385,0.00603686
ENSG00000232467,5.119495134,5.249558187,1.431073041,3.668267122,0.0002442,0.001773545
ENSG00000117016,165.6032837,2.961559727,0.605318164,4.892567088,9.95E-07,1.93E-05
ENSG00000284696,3.469280129,6.16789576,1.619736109,3.807963362,0.000140116,0.001145482
ENSG00000232762,7.918995066,4.626253131,1.456585187,3.176095138,0.00149272,0.007234283
ENSG00000162391,9.461527802,4.013792458,0.983222209,4.082284168,4.46E-05,0.000453989
ENSG00000117859,1144.644377,-1.134884012,0.349070446,-3.251160404,0.00114935,0.005898444
ENSG00000228121,4.25703964,4.318932669,1.506359603,2.867132562,0.004142095,0.015829179
ENSG00000162396,59.72412482,1.347852544,0.435014687,3.098406985,0.00194564,0.008867238
ENSG00000162378,1039.79649,1.291763244,0.471539234,2.739460792,0.006154005,0.021261049
ENSG00000234481,1.574130324,5.041983283,2.072871061,2.432367057,0.015000497,0.041535558
ENSG00000236646,5.620072003,3.110620202,1.325061251,2.347529369,0.018898383,0.049381285
ENSG00000238063,4.459421687,6.068728048,1.492307779,4.066673198,4.77E-05,0.000479298
ENSG00000171872,6.965817822,4.060718529,1.075585727,3.775355537,0.00015978,0.001267803
ENSG00000162407,1603.831731,-2.82533982,0.561845037,-5.028681638,4.94E-07,1.05E-05
ENSG00000285079,4.013272074,5.592425248,1.621644473,3.448613638,0.000563472,0.00341647
ENSG00000163877,452.6854998,-1.667786188,0.33148121,-5.031314403,4.87E-07,1.04E-05
ENSG00000278967,13.3086688,4.06696633,1.185090138,3.431778057,0.000599638,0.003580696
ENSG00000157184,163.5988463,1.276089244,0.379958747,3.358494184,0.000783684,0.004399862
ENSG00000198815,1152.19989,-1.209144383,0.397522386,-3.041701362,0.002352452,0.010295516
ENSG00000287703,2.830881953,5.772396296,1.806566239,3.195230914,0.00139719,0.006862814
ENSG00000283039,3.754227267,6.1385549,1.620055486,3.789101641,0.000151193,0.001215432
ENSG00000229294,2.380937885,4.87664446,1.622458883,3.0057122,0.002649596,0.011269764
ENSG00000234264,1.936398999,4.608153888,1.890070183,2.438086125,0.014765256,0.041011874
ENSG00000223883,3.806816963,6.137249634,1.619937905,3.788570918,0.000151516,0.001216788
ENSG00000116652,26.36141291,2.2623235,0.644317843,3.51119176,0.000446102,0.002839946
ENSG00000123080,234.6558444,1.667170365,0.425526406,3.91790108,8.93E-05,0.000798485
ENSG00000285778,4.382092557,6.478868386,1.787987678,3.623553152,0.000290583,0.002025861
ENSG00000162598,3.54965672,4.239557933,1.408154991,3.010718251,0.002606306,0.011133374
ENSG00000162415,61.25229385,-1.437346967,0.609266808,-2.359142083,0.018317241,0.048224518
ENSG00000157193,434.4161866,2.920852894,0.624907971,4.674052867,2.95E-06,4.89E-05
ENSG00000116205,197.5974769,1.759235287,0.277559573,6.338225946,2.32E-10,1.26E-08
ENSG00000233994,11.28186743,2.871396317,0.856544395,3.352302965,0.000801423,0.004471962
ENSG00000233973,2.57890311,5.525323771,1.909922275,2.892957396,0.003816331,0.014844837
ENSG00000132854,171.5674548,2.067882919,0.761097791,2.716974011,0.006588178,0.022394462
ENSG00000162607,1373.143784,1.331768402,0.458307922,2.905837621,0.003662715,0.014389236
ENSG00000285954,4.403426906,6.324262498,1.57945977,4.004066845,6.23E-05,0.00059474
ENSG00000154027,334.2573326,-3.403595076,0.766542624,-4.440190237,8.99E-06,0.000122297
ENSG00000137960,37.77812137,-2.323641768,0.632617623,-3.673058862,0.000239664,0.001748336
ENSG00000132855,38.61890044,3.275073433,0.792834496,4.130841241,3.61E-05,0.000382775
ENSG00000285407,7.235884349,5.531952085,1.629629493,3.394607247,0.000687271,0.003975084
ENSG00000270549,3.146593516,5.368508395,1.880295185,2.855141276,0.004301769,0.016302261
ENSG00000229636,1.597311878,5.170133493,2.182145073,2.369289539,0.017822295,0.047289386
ENSG00000227016,1.899135413,4.676745671,1.90192199,2.458957673,0.013934104,0.039280116
ENSG00000158966,400.9447825,-2.50690339,0.484129535,-5.178166603,2.24E-07,5.32E-06
ENSG00000213703,5.2153047,4.602815661,1.472766902,3.12528456,0.001776331,0.008261087
ENSG00000117069,217.1421583,2.970183071,0.837615502,3.54599821,0.000391129,0.002561765
ENSG00000125703,169.809868,1.164031664,0.298141904,3.904287351,9.45E-05,0.000835621
ENSG00000227466,12.39487952,6.820357444,1.509200867,4.519184686,6.21E-06,9.09E-05
ENSG00000230498,7.298423873,4.500186207,1.381701102,3.256989662,0.001126005,0.005806443
ENSG00000285782,4.200068342,4.626845232,1.644632891,2.813299708,0.004903592,0.017969757
ENSG00000162618,697.3792528,-3.05300055,0.396237191,-7.704982321,1.31E-14,1.72E-12
ENSG00000230863,3.41547471,5.37364034,1.598848857,3.36094329,0.000776768,0.004367033
ENSG00000225087,5.577468318,4.302357333,1.553659111,2.769177166,0.005619807,0.019846901
ENSG00000286548,27.28789561,1.928908245,0.613745203,3.142848586,0.001673124,0.007886397
ENSG00000260386,20.04754229,4.660621876,1.173260798,3.97236649,7.12E-05,0.000662489
ENSG00000237413,3.836170515,4.156247869,1.358679848,3.059034013,0.002220519,0.009834468
ENSG00000184313,12.9880099,2.693538029,0.697796788,3.860060803,0.000113359,0.000965247
ENSG00000284645,3.54938112,5.197239813,1.562134181,3.327012415,0.000877825,0.004800245
ENSG00000288543,6.459105586,3.625075418,1.433563968,2.528715494,0.011448078,0.033926245
ENSG00000284240,4.899802296,6.435719129,1.562266009,4.119477152,3.80E-05,0.000399292
ENSG00000226084,1240.969908,-1.518748142,0.464681755,-3.268361897,0.00108172,0.00563157
ENSG00000197273,2.033056459,5.373023421,1.8025657,2.980764263,0.0028753,0.011979823
ENSG00000232846,3.801232608,3.685056722,1.560029657,2.362170941,0.018168263,0.047950081
ENSG00000237453,2.683428329,4.770840863,1.804510934,2.643841482,0.008197103,0.026391352
ENSG00000231364,4.131373637,5.469684159,1.845551431,2.963712671,0.003039519,0.0124965
ENSG00000182183,15.34015633,3.787522715,0.908033948,4.171124573,3.03E-05,0.000331665
ENSG00000067334,1378.887716,-2.319682193,0.352471829,-6.581184656,4.67E-11,2.96E-09
ENSG00000171502,69.61732418,2.540000359,0.458790464,5.536297193,3.09E-08,9.47E-07
ENSG00000230817,6.215112699,5.512615365,1.652403979,3.336118429,0.00084957,0.004676941
ENSG00000226759,4.515152482,4.669621839,1.476008772,3.163681631,0.001557871,0.007470347
ENSG00000237899,2.829797913,5.477770066,1.727880884,3.170224358,0.001523213,0.007352228
ENSG00000227290,4.634153178,4.117388598,1.55552272,2.646948543,0.008122171,0.026226421
ENSG00000231090,3.807256293,4.843344239,1.529300908,3.16703156,0.001540036,0.007405212
ENSG00000287724,5.619165119,4.843066869,1.417821825,3.415850134,0.000635832,0.003751276
